Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
397,27.5,18.8,0.0
398,28.3,18.8,0.0
399,27.9,18.8,0.0
400,29.025,19.0,0.0
401,27.35,18.9,0.0
402,27.925,18.9,0.0
403,27.85,18.9,0.0
404,28.775,18.8,0.0
405,29.65,18.8,0.0
406,28.575000000000003,18.9,0.0
407,27.725,19.0,0.0
408,27.85,18.8,0.0
409,28.6,18.8,0.0
410,29.3,18.8,0.0
411,28.025,18.8,0.0
412,29.05,18.9,0.0
413,28.05,18.9,0.0
414,29.200000000000003,18.9,0.0
415,29.5,19.0,0.0
416,28.825,18.9,0.0
417,27.525,18.8,0.0
418,28.625,18.8,0.0
419,28.275,18.9,0.0
420,28.75,18.7,0.0
421,27.45,18.7,0.0
422,28.075000000000003,18.9,0.0
423,28.45,18.8,0.0
424,29.325,18.8,0.0
425,29.45,18.8,0.0
426,46.325,18.9,0.0
427,28.025,19.0,0.0
428,28.775,18.8,0.0
429,26.65,18.8,0.0
430,29.025,18.8,0.0
431,27.875,19.0,0.0
432,27.825000000000003,18.9,0.0
433,28.325,18.9,0.0
434,28.775,18.9,0.0
435,29.5,18.9,0.0
436,28.3,19.1,0.0
437,27.125,19.0,0.0
438,28.15,19.0,0.0
439,28.175,18.9,0.0
440,29.450000000000003,19.0,0.0
441,28.025,18.8,0.0
442,28.8,18.9,0.0
443,27.05,19.0,0.0
444,29.125,18.8,0.0
445,29.85,18.8,0.0
446,28.5,19.0,0.0
447,27.25,18.9,0.0
448,30.3,18.9,0.0
449,27.375,18.8,0.0
450,29.85,18.9,0.0
451,27.7,19.0,0.0
452,29.225,19.0,0.0
453,26.9,18.9,0.0
454,28.325,18.9,0.0
455,28.325,18.9,0.0
456,44.975,19.1,0.0
457,39.85,18.8,0.0
458,34.1,18.9,0.0
459,27.5,18.9,0.0
460,28.85,18.9,0.0
461,28.0,18.8,0.0
462,29.1,18.9,0.0
463,27.95,18.9,0.0
464,27.775,18.9,0.0
465,29.15,18.9,0.0
466,28.45,19.0,0.0
467,27.3,19.0,0.0
468,28.5,19.0,0.0
469,28.175,19.0,0.0
470,28.6,19.0,0.0
471,28.775,19.0,0.0
472,29.6,18.8,0.0
473,27.375,18.8,0.0
474,27.8,18.8,0.0
475,28.525,18.9,0.0
476,29.25,18.9,0.0
477,28.375,18.8,0.0
478,28.75,18.8,0.0
479,27.275,18.9,0.0
480,28.175,18.9,0.0
481,27.275,18.9,0.0
482,29.025,18.9,0.0
483,26.975,19.0,0.0
484,28.2,19.0,0.0
485,28.475,18.9,0.0
486,38.575,19.0,0.0
487,35.575,19.1,0.0
488,27.925,19.1,0.0
489,28.05,19.0,0.0
490,29.15,18.9,0.0
491,27.475,19.1,0.0
492,29.125,19.0,0.0
493,27.425,18.9,0.0
494,28.225,18.9,0.0
495,28.15,18.9,0.0
496,28.175,18.8,0.0
497,28.2,18.8,0.0
498,28.275,18.8,0.0
499,27.200000000000003,18.9,0.0
500,28.55,18.8,0.0
501,29.175,18.8,0.0
502,28.475,18.8,0.0
503,27.85,18.8,0.0
504,28.05,18.8,0.0
505,28.25,18.9,0.0
506,28.5,18.8,0.0
507,27.6,18.9,0.0
508,28.3,19.0,0.0
509,27.875,18.8,0.0
510,28.4,18.9,0.0
511,27.9,18.8,0.0
