Duration (Seconds),CPU_Usage,Memory_Usage,Disk_Usage
466,57.25,19.9,0.3999999999999915
467,57.125,20.0,0.3999999999999915
468,56.025000000000006,20.1,0.3999999999999915
469,56.875,20.2,0.3999999999999915
470,56.25,20.2,0.3999999999999915
471,57.55,20.3,0.3999999999999915
472,56.3,20.4,0.3999999999999915
473,58.825,20.5,0.5
474,57.1,20.4,0.5
475,58.85,20.4,0.5
476,57.900000000000006,20.3,0.5
477,59.425,20.3,0.5
478,56.25,20.3,0.5
479,58.5,19.9,0.5
480,49.125,19.6,0.5999999999999943
481,21.925,19.3,0.5999999999999943
482,41.825,19.2,0.6999999999999886
483,37.225,19.1,0.5999999999999943
484,36.525,19.2,0.5
485,19.95,19.2,0.5
486,28.675,19.2,0.5
487,58.150000000000006,19.2,0.5
488,51.225,19.2,0.5
489,57.05,19.4,0.5
490,54.7,19.5,0.5
491,57.975,19.6,0.5
492,55.125,19.7,0.5
493,57.95,19.7,0.5
494,56.2,19.7,0.5
495,48.125,19.6,0.5
496,10.15,19.6,0.5
497,30.975,19.6,0.5
498,14.875,19.6,0.5
499,31.3,19.6,0.5
500,37.025,20.0,0.5
501,51.55,20.2,0.5
502,36.025,20.1,0.5
503,38.025,19.7,0.5
504,40.875,19.5,0.5
505,42.95,19.6,0.5
506,56.875,19.6,0.5
507,59.2,19.6,0.5
508,56.825,19.8,0.5
509,57.675,19.8,0.3999999999999915
510,56.575,19.9,0.3999999999999915
511,57.125,19.9,0.3999999999999915
512,49.9,19.6,0.5
513,49.575,19.4,0.5
514,15.15,19.4,0.5
515,24.750000000000004,19.4,0.5
516,9.675,19.4,0.5
517,14.225,19.4,0.5
518,35.35,19.4,0.5
519,13.8,19.4,0.5
520,13.9,19.4,0.5
521,13.375,19.4,0.5
522,10.725,19.4,0.5
523,58.2,19.4,0.5
524,57.125,19.5,0.5
525,58.25,19.5,0.5
526,58.2,19.5,0.5
527,42.8,19.5,0.5
528,11.925,19.5,0.5
529,13.475,19.5,0.5
530,13.325,19.5,0.5
531,19.35,19.5,0.5
532,13.4,19.5,0.5
533,25.05,19.5,0.5
534,9.5,19.5,0.5
535,15.125,19.4,0.5
536,12.625,19.4,0.5
537,36.8,19.4,0.5
538,57.2,19.4,0.5
539,57.85,19.5,0.5
540,55.05,19.5,0.5
541,23.5,19.5,0.5
542,20.475,19.5,0.5
543,24.1,19.5,0.5
544,13.075,19.5,0.5
545,21.925,19.4,0.5
546,9.8,19.5,0.5
547,33.125,19.5,0.5
548,13.6,19.5,0.5
549,37.3,19.6,0.5
550,13.775,19.6,0.5
551,33.45,19.6,0.5
552,53.4,19.7,0.5999999999999943
553,58.675,19.7,0.5999999999999943
554,57.35,19.8,0.5999999999999943
555,58.05,19.8,0.5999999999999943
556,57.075,19.8,0.5999999999999943
557,38.75,20.0,0.5999999999999943
558,30.725,20.0,0.5999999999999943
559,34.3,20.0,0.5999999999999943
560,22.325000000000003,19.6,0.5999999999999943
561,19.175000000000004,19.6,0.5999999999999943
562,17.5,19.6,0.5999999999999943
563,17.875,19.6,0.5
564,12.95,19.6,0.5
565,24.875,19.6,0.5
566,12.925,19.6,0.5
567,12.8,19.6,0.5
568,9.15,19.6,0.5
569,17.775,19.6,0.5
570,50.875,19.7,0.5
571,56.675,19.7,0.5
572,56.3,19.8,0.5
573,58.45,19.8,0.5
574,56.725,19.8,0.5
575,55.625,19.8,0.5
576,42.85,19.9,0.5
577,30.8,19.6,0.5
578,12.35,19.6,0.5
579,25.325,19.6,0.5
580,24.950000000000003,19.5,0.5
581,24.525,19.5,0.3999999999999915
582,13.349999999999998,19.5,0.3999999999999915
583,12.95,19.5,0.3999999999999915
584,13.95,19.5,0.3999999999999915
585,17.575,19.5,0.3999999999999915
586,14.8,19.5,0.3999999999999915
587,15.225,19.5,0.3999999999999915
588,56.150000000000006,19.6,0.3999999999999915
589,59.5,19.6,0.3999999999999915
590,57.1,19.6,0.3999999999999915
591,58.1,19.7,0.3999999999999915
592,52.9,19.7,0.3999999999999915
593,34.125,19.9,0.3999999999999915
594,23.275,19.7,0.3999999999999915
595,22.025,19.5,0.3999999999999915
596,13.325,19.5,0.3999999999999915
597,30.1,19.5,0.3999999999999915
598,16.35,19.5,0.29999999999999716
599,17.15,19.4,0.29999999999999716
600,42.025,19.5,0.29999999999999716
601,17.85,19.5,0.29999999999999716
602,27.075,19.4,0.29999999999999716
603,48.925,19.7,0.29999999999999716
604,56.35,19.7,0.29999999999999716
605,58.75,19.8,0.29999999999999716
606,57.325,19.9,0.29999999999999716
607,57.25,20.0,0.29999999999999716
608,56.85,20.1,0.29999999999999716
609,57.825,20.2,0.29999999999999716
610,58.425,20.2,0.29999999999999716
611,57.65,20.3,0.29999999999999716
612,56.875,20.4,0.29999999999999716
613,58.1,20.4,0.29999999999999716
614,56.925,20.4,0.29999999999999716
615,59.125,20.3,0.3999999999999915
616,51.15,20.0,0.3999999999999915
617,44.3,19.9,0.29999999999999716
618,31.575000000000003,19.6,0.29999999999999716
619,33.625,19.5,0.29999999999999716
620,37.45,19.4,0.29999999999999716
621,33.45,19.2,0.29999999999999716
622,22.2,19.1,0.19999999999998863
623,34.7,19.2,0.09999999999999432
624,21.95,19.1,0.19999999999998863
625,23.775,19.1,0.19999999999998863
626,49.475,19.2,0.19999999999998863
627,56.9,19.3,0.19999999999998863
628,56.575,19.4,0.19999999999998863
629,57.95,19.4,0.19999999999998863
